metric,value
best_T1,old_vecdot_nrc1
best_T1_avg_ns,12024312
best_T1_second,R4_no_pack
best_T1_margin,0.624400
best_T2,old_vecdot_nrc1
best_T2_avg_ns,24093444
best_T2_second,R4_no_pack
best_T2_margin,0.038014
best_T4,R8_no_pack
best_T4_avg_ns,30094347
best_T4_second,R4_no_pack
best_T4_margin,0.049553
best_T8,R8_no_pack
best_T8_avg_ns,41537071
best_T8_second,R4_no_pack
best_T8_margin,0.152328
best_static_variant,R8_no_pack
best_static_latency_sum_ns,118269870
best_dynamic_latency_sum_ns,107749174
dynamic_gain,0.088955
crossover_observed,yes
