variant,T,avg_ns,avg_ms,source
old_vecdot_nrc1,1,12024312,12.024,rtile_ttile_matrix_r5
old_vecdot_nrc1,2,24093444,24.093,stderr_and_matrix_ratio_estimate
old_vecdot_nrc1,4,48085457,48.085,rtile_ttile_matrix_r5
old_vecdot_nrc1,8,96325854,96.326,stderr_and_matrix_ratio_estimate
R1_no_pack,1,36761854,36.762,rtile_ttile_matrix_r5
R1_no_pack,2,49601628,49.602,rtile_ttile_matrix_r5
R1_no_pack,4,41465182,41.465,rtile_ttile_matrix_r5
R1_no_pack,8,76364058,76.364,rtile_ttile_matrix_r5
R2_no_pack,1,21809353,21.809,rtile_ttile_matrix_r5
R2_no_pack,2,27149814,27.15,rtile_ttile_matrix_r5
R2_no_pack,4,35201924,35.202,rtile_ttile_matrix_r5
R2_no_pack,8,58373251,58.373,rtile_ttile_matrix_r5
R4_no_pack,1,19532297,19.532,rtile_ttile_matrix_r5
R4_no_pack,2,25009327,25.009,rtile_ttile_matrix_r5
R4_no_pack,4,31585622,31.586,rtile_ttile_matrix_r5
R4_no_pack,8,47864345,47.864,rtile_ttile_matrix_r5
R8_no_pack,1,21020664,21.021,rtile_ttile_matrix_r5
R8_no_pack,2,25617788,25.618,rtile_ttile_matrix_r5
R8_no_pack,4,30094347,30.094,rtile_ttile_matrix_r5
R8_no_pack,8,41537071,41.537,rtile_ttile_matrix_r5
